#{"t_start": 1772323696.7707138, "env_id": "None"}
r,l,t,termination_reason
-223.36943,43,1.543164,collision
-223.52458,36,1.605456,collision
-224.18853,41,1.679221,collision
-227.779943,57,1.778122,collision
-225.976681,40,1.846695,collision
-232.094469,67,1.959337,collision
-223.004633,40,2.028788,collision
-227.462818,46,2.098624,collision
-226.131115,46,2.172301,collision
-225.293702,41,2.23943,collision
-221.729785,40,2.301983,collision
-225.114524,44,2.779409,collision
-225.711283,47,2.865114,collision
-229.05155,56,2.971511,collision
-223.815967,43,3.044312,collision
-222.33649,37,3.111765,collision
-223.709818,48,3.199659,collision
-223.852697,46,3.285816,collision
-222.824595,40,3.358621,collision
-227.200735,50,3.454461,collision
-225.585337,46,3.542308,collision
-221.588584,41,3.614984,collision
-225.390871,41,3.893307,collision
-229.537405,66,4.017506,collision
-225.372416,48,4.11001,collision
-226.049175,46,4.20224,collision
-227.064677,47,4.287523,collision
-228.247412,54,4.37569,collision
-222.6644,41,4.444325,collision
-224.346773,46,4.516128,collision
-230.082269,52,4.599636,collision
-225.064355,54,4.686971,collision
-230.734055,55,4.935939,collision
-226.545953,48,5.014193,collision
-221.396104,42,5.083691,collision
-228.890916,46,5.159719,collision
-225.537921,45,5.228117,collision
-221.434871,45,5.300489,collision
-228.97347,57,5.393174,collision
-226.80147,53,5.478302,collision
-226.184196,51,5.560873,collision
-225.12022,44,5.631832,collision
-226.76414,45,5.707302,collision
-241.455172,89,6.013978,collision
-228.263091,52,6.094904,collision
-227.833419,49,6.174647,collision
-233.425924,63,6.275434,collision
-224.838094,48,6.352403,collision
-226.875402,52,6.43608,collision
-223.953465,44,6.504692,collision
-224.91773,50,6.584264,collision
-226.949102,56,6.674031,collision
-227.582966,53,6.931449,collision
-228.583021,57,7.019771,collision
-227.129909,51,7.10145,collision
-232.267898,68,7.209216,collision
-224.873287,48,7.285472,collision
-229.402043,48,7.363405,collision
-230.864746,64,7.466296,collision
-228.787979,52,7.547682,collision
-234.129151,72,7.666711,collision
-228.423836,52,7.921928,collision
-230.862733,75,8.041734,collision
-246.669776,121,8.234677,collision
-236.250598,70,8.344704,collision
-230.102307,62,8.444152,collision
-225.885185,58,8.535175,collision
-242.336836,108,8.710155,collision
-228.094398,69,8.982705,collision
-241.147911,143,9.209198,collision
-243.821952,91,9.353838,collision
-229.594511,75,9.471763,collision
-227.394762,65,9.576109,collision
-239.072431,92,9.9028,collision
-234.760143,70,10.012807,collision
-249.369754,124,10.206047,collision
-235.351625,81,10.332538,collision
-251.764041,136,10.543481,collision
-239.841967,110,10.889754,collision
-322.477172,313,11.390127,collision
-268.726294,190,11.856399,collision
-280.897655,224,12.207116,collision
-264.568857,232,12.569401,collision
-282.276425,256,13.15944,collision
-258.678512,229,13.516634,collision
-263.99802,211,14.016647,collision
-244.353875,196,14.321989,collision
-234.58389,212,14.813679,collision
-243.874346,200,15.124444,collision
-229.392187,194,15.425791,collision
-224.158063,173,15.855013,collision
-237.652871,203,16.177503,collision
-243.297518,226,16.701442,collision
-249.574233,180,16.990803,collision
-229.275972,187,17.287053,collision
-224.203328,176,17.728345,collision
-221.731552,166,17.992615,collision
-198.638097,187,18.285124,collision
-218.257377,193,18.754272,collision
-224.186987,183,19.041439,collision
